,Date,ITS_LIVE Mean Velocity,Mask Ratio
240,2017-03-02,1344.8,0.729
241,2017-03-05,1281.3,0.627
242,2017-03-06,1392.7,0.78
248,2017-03-08,1446.4,0.781
249,2017-03-11,1419.0,0.715
250,2017-03-14,1333.8,0.688
251,2017-03-17,1216.6,0.527
252,2017-03-20,1331.3,0.619
253,2017-03-23,1314.9,0.571
254,2017-03-26,1330.7,0.613
255,2017-03-29,1243.4,0.558
256,2017-04-01,1437.4,0.714
257,2017-04-04,1376.1,0.583
258,2017-04-07,1616.5,0.718
259,2017-04-10,1351.6,0.615
260,2017-04-13,1361.6,0.625
261,2017-04-16,1250.1,0.535
262,2017-04-19,1426.3,0.794
263,2017-04-22,1234.8,0.516
264,2017-04-28,1461.8,0.556
265,2017-05-01,1619.3,0.779
266,2017-05-04,1476.9,0.653
267,2017-05-07,1383.6,0.759
268,2017-05-10,1353.4,0.731
269,2017-05-13,1418.6,0.797
270,2017-05-16,1384.9,0.733
271,2017-05-19,1511.4,0.733
272,2017-05-22,1446.8,0.694
273,2017-05-25,1466.2,0.729
274,2017-05-28,1476.0,0.699
275,2017-05-29,1562.3,0.76
276,2017-05-31,1541.6,0.74
277,2017-06-03,1517.1,0.681
278,2017-06-06,1610.6,0.749
279,2017-06-08,1711.3,0.731
280,2017-06-09,1594.1,0.661
281,2017-06-12,1690.4,0.733
282,2017-06-15,1574.7,0.673
283,2017-06-18,1521.4,0.715
284,2017-06-21,1598.3,0.683
285,2017-06-24,1591.0,0.746
286,2017-06-27,1550.5,0.674
287,2017-06-30,1492.2,0.752
288,2017-07-03,1517.4,0.718
289,2017-07-06,1646.5,0.71
290,2017-07-09,1847.6,0.78
294,2017-07-12,1617.2,0.751
295,2017-07-14,1727.9,0.73
298,2017-07-16,1690.1,0.767
302,2017-07-18,1654.9,0.734
304,2017-07-21,1645.6,0.784
306,2017-07-23,1738.3,0.729
307,2017-07-26,1897.4,0.774
311,2017-07-28,1734.2,0.781
312,2017-07-30,1540.1,0.745
313,2017-07-31,1587.9,0.752
314,2017-08-01,1653.1,0.783
322,2017-08-02,1428.5,0.728
323,2017-08-03,1543.9,0.767
332,2017-08-04,1443.8,0.697
334,2017-08-05,1538.0,0.729
344,2017-08-06,1453.3,0.773
351,2017-08-07,1512.1,0.754
352,2017-08-08,1576.3,0.761
364,2017-08-10,1528.0,0.756
366,2017-08-11,1536.9,0.774
374,2017-08-13,1451.2,0.776
378,2017-08-14,1404.3,0.738
379,2017-08-16,1343.2,0.71
381,2017-08-17,1400.2,0.777
382,2017-08-19,1369.1,0.743
384,2017-08-20,1424.4,0.772
388,2017-08-22,1322.3,0.681
390,2017-08-23,1377.6,0.8
391,2017-08-25,1402.8,0.764
393,2017-08-26,1430.4,0.729
394,2017-08-28,1409.3,0.694
396,2017-08-29,1489.2,0.785
397,2017-08-30,1536.4,0.762
400,2017-08-31,1521.8,0.762
402,2017-09-01,1497.9,0.768
404,2017-09-03,1403.3,0.705
405,2017-09-04,1326.6,0.731
407,2017-09-06,1314.0,0.757
408,2017-09-07,1300.7,0.715
410,2017-09-09,1239.5,0.678
412,2017-09-10,1199.0,0.782
414,2017-09-12,1270.9,0.716
415,2017-09-13,1302.3,0.747
417,2017-09-15,1240.0,0.709
419,2017-09-16,1360.6,0.748
420,2017-09-18,1276.7,0.714
422,2017-09-19,1330.6,0.743
423,2017-09-21,1241.5,0.599
425,2017-09-22,1330.7,0.788
427,2017-09-24,1444.5,0.787
429,2017-09-25,1334.1,0.777
430,2017-09-27,1316.6,0.751
432,2017-09-28,1352.9,0.774
433,2017-09-30,1371.2,0.749
434,2017-10-01,1323.9,0.769
436,2017-10-03,1332.1,0.739
438,2017-10-04,1359.0,0.78
439,2017-10-06,1360.7,0.747
440,2017-10-07,1360.6,0.756
446,2017-10-09,1249.9,0.601
