,Date,ITS_LIVE Mean Velocity,Mask Ratio
293,2018-08-30,1652.3,0.847
294,2018-09-01,1504.1,0.806
295,2018-09-02,1658.0,0.932
296,2018-09-05,1847.2,0.918
300,2018-09-07,1831.0,0.823
305,2018-09-09,1754.3,0.815
308,2018-09-10,1803.8,0.883
312,2018-09-12,1706.4,0.9
316,2018-09-13,1708.7,0.802
317,2018-09-14,1749.1,0.887
318,2018-09-15,1705.3,0.929
322,2018-09-16,1590.9,0.959
327,2018-09-17,1639.9,0.97
332,2018-09-19,1723.7,0.981
333,2018-09-20,1721.6,0.981
338,2018-09-22,1664.2,0.897
341,2018-09-23,1718.6,0.881
342,2018-09-25,1674.3,0.976
346,2018-09-26,1702.7,0.917
347,2018-09-27,1662.0,0.803
349,2018-09-29,1772.2,0.854
350,2018-09-30,1669.8,0.849
351,2018-10-02,1797.4,0.885
352,2018-10-05,1811.6,0.879
353,2018-10-07,1671.0,0.975
354,2018-10-08,1708.9,0.954
355,2018-10-09,1694.3,0.822
357,2018-10-11,1805.2,0.879
358,2018-10-13,1673.8,0.843
359,2018-10-14,1806.8,0.854
360,2018-10-19,2008.1,0.8
361,2018-10-20,1746.0,0.912
364,2018-10-25,1825.9,0.862
365,2018-10-26,1706.6,0.954
366,2018-10-31,1644.6,0.86
367,2018-11-16,1744.8,0.828
368,2018-12-13,1907.2,0.822
369,2018-12-25,1677.5,0.882
370,2018-12-28,1624.1,0.854
371,2018-12-30,1628.6,0.937
372,2018-12-31,1668.6,0.893
373,2019-01-03,1582.3,0.931
374,2019-01-12,1614.4,0.846
375,2019-01-21,1664.4,0.842
376,2019-01-24,1601.7,0.889
377,2019-01-27,1602.4,0.835
378,2019-02-02,1394.9,0.872
379,2019-02-20,1871.7,0.855
380,2019-03-03,1507.5,0.8
383,2019-03-06,1537.2,0.853
384,2019-03-12,1667.3,0.848
385,2019-03-25,1477.1,0.809
386,2019-03-28,1893.6,0.837
387,2019-03-30,1624.2,0.894
388,2019-03-31,1769.7,0.878
389,2019-04-03,1499.5,0.909
390,2019-04-09,1983.4,0.901
391,2019-04-11,1441.8,0.962
392,2019-04-15,1558.9,0.824
393,2019-04-17,1609.1,0.979
